brand,url,category,category_long,segment,competitor_1,competitor_2,use_case_1,use_case_2,integration_1,integration_2,role,aliases
Amplitude,amplitude.com,product analytics,digital analytics platform for enterprise and mid-market teams,mid-market to enterprise product teams,Mixpanel,Pendo,analyze product usage and user behavior,optimize onboarding and conversion funnels,Segment,Salesforce,VP Product or Chief Product Officer,Amplitude Analytics
PostHog,posthog.com,product analytics,open-source product analytics platform for developer teams,developer-led product teams,Mixpanel,Amplitude,self-host product analytics without third-party services,track feature flags and run A/B experiments,GitHub,Slack,engineering lead or head of product,PostHog Analytics
Pendo,pendo.io,product analytics,product experience and analytics platform for enterprise SaaS,enterprise SaaS product teams,Amplitude,Mixpanel,guide users through in-app onboarding tours,track feature adoption and measure NPS,Salesforce,Zendesk,VP Product or Product Ops Manager,Pendo.io
June.so,june.so,product analytics,B2B product analytics built on Segment for early-stage teams,early-stage B2B SaaS teams,Mixpanel,PostHog,track user activation and product-qualified leads,identify accounts likely to churn early,Segment,HubSpot,founder or head of product at a B2B SaaS startup,June
Metabase,metabase.com,business intelligence,open-source BI and data visualization tool,data and operations teams at startups and SMBs,Tableau,Looker,build dashboards and reports without writing SQL,share data insights with non-technical stakeholders,PostgreSQL,MySQL,data analyst or head of data,Metabase BI
Plausible,plausible.io,web analytics,privacy-first web analytics for SaaS founders,privacy-conscious SaaS founders and developers,Google Analytics,Mixpanel,track website traffic without cookies or consent banners,monitor conversion funnels without compromising user privacy,WordPress,Gatsby,SaaS founder or marketing manager,Plausible Analytics
Klipfolio,klipfolio.com,business intelligence,cloud dashboard and KPI tracking tool for SMBs,marketing and operations teams at SMBs,Google Data Studio,Tableau,build KPI dashboards connected to multiple data sources,create automated executive reports without manual data entry,Google Analytics,HubSpot,marketing ops lead or COO,Klipfolio Dashboard
Supermetrics,supermetrics.com,marketing analytics,marketing data pipeline tool for agencies and in-house teams,digital marketing agencies and in-house marketing teams,Funnel.io,Fivetran,pull marketing data from all ad platforms into spreadsheets,automate marketing reporting across all channels,Google Analytics,Facebook Ads,marketing analyst or head of marketing,Supermetrics for Google Sheets
FullStory,fullstory.com,product analytics,digital experience analytics with session replay,product and UX teams at mid-market SaaS companies,Hotjar,Mouseflow,replay user sessions to understand UX friction points,identify rage clicks and broken flows in the product,Segment,Amplitude,VP Product or head of UX research,"Full Story,FullStory DX"
Retool,retool.com,internal tooling,low-code platform for building internal tools and dashboards,engineering and operations teams at mid-market companies,AppSmith,Budibase,build internal dashboards and admin panels quickly,create CRUD apps without full-stack engineering effort,PostgreSQL,Stripe,VP Engineering or CTO at a growing startup,Retool App
Linear,linear.app,project management,issue tracking and project management for software teams,software development teams at fast-growing companies,Jira,Asana,track engineering tasks and sprints efficiently,manage product roadmaps and coordinate releases,GitHub,Slack,engineering manager at a fast-growing startup,Linear App
Sentry,sentry.io,error monitoring,application performance monitoring and error tracking platform,engineering teams at SaaS companies,Datadog,Bugsnag,catch and fix production errors before users notice,monitor application performance and response latency,GitHub,Slack,engineering lead or DevOps manager,Sentry.io
Vercel,vercel.com,deployment,frontend cloud and deployment platform for modern web apps,frontend engineering teams at SaaS companies,Netlify,AWS Amplify,deploy and scale Next.js applications globally,manage preview deployments for every pull request,GitHub,Next.js,head of frontend engineering or CTO,Vercel Cloud
Render,render.com,cloud infrastructure,modern cloud hosting platform for web services and databases,startup and scale-up engineering teams,Heroku,Railway,deploy web services and databases without DevOps complexity,run background workers and cron jobs reliably in production,GitHub,PostgreSQL,DevOps lead or backend engineer at a startup,Render Cloud
Planetscale,planetscale.com,database,serverless MySQL platform for modern web applications,engineering teams at fast-growing SaaS companies,Aurora,CockroachDB,build scalable relational databases without operational overhead,manage database schema changes safely with non-blocking migrations,GitHub,Rails,Head of Backend Engineering at a scaling startup,PlanetScale DB
Neon,neon.tech,database,serverless Postgres platform for developer teams,developer teams building SaaS and AI applications,Supabase,PlanetScale,spin up serverless Postgres databases instantly with auto-suspend,branch databases like code for isolated development and testing,Vercel,GitHub,Backend Engineer Lead at a startup,Neon Database
Doppler,doppler.com,secrets management,universal secrets manager for engineering and DevOps teams,DevOps and platform engineering teams at SaaS companies,HashiCorp Vault,AWS Secrets Manager,centralize and sync secrets across all environments and services,auto-rotate secrets and manage access permissions without manual effort,GitHub,Kubernetes,DevOps Lead or Platform Engineer,Doppler Secrets
Checkly,checklyhq.com,monitoring,monitoring as code platform for DevOps and reliability teams,DevOps and SRE teams at SaaS companies,Datadog,PagerDuty,monitor API endpoints and critical user flows with code-defined checks,catch regressions in staging before they ever reach production,GitHub,Slack,DevOps Lead or QA Engineer at a growing startup,Checkly Monitoring
Raycast,raycast.com,productivity,developer productivity launcher for Mac power users,Mac-based developer and design teams at tech companies,Alfred,Spotlight,launch apps and run custom workflows from the keyboard instantly,search documentation code snippets and teammates without leaving the keyboard,Slack,GitHub,Developer Productivity Lead or CTO at a tech company,Raycast App
Rippling,rippling.com,HR,unified workforce platform for HR payroll IT and finance,mid-market companies managing distributed and global teams,Gusto,BambooHR,automate HR payroll benefits and IT provisioning in a single platform,manage global workforce compliance and onboarding from one system,Slack,Google Workspace,VP HR or Chief People Officer at a scaling company,Rippling HR
Lattice,lattice.com,HR,performance management and people development platform for growing teams,mid-market companies building high-performance cultures,Leapsome,15Five,run continuous performance reviews and set company-wide OKRs,develop employee skills and track engagement scores over time,Slack,Google Workspace,Head of People or VP HR at a growth-stage company,Lattice Performance
HiBob,hibob.com,HR,modern HRIS for mid-market global and remote-first teams,mid-market companies with distributed global workforces,BambooHR,Personio,manage employee records and run payroll across multiple countries,automate onboarding workflows and org chart updates at scale,Slack,Google Workspace,HR Manager or People Ops Lead at a global company,HiBob HRIS
Personio,personio.com,HR,all-in-one HR software for European SMEs,European SME HR teams and people operations leads,SAP SuccessFactors,BambooHR,manage all HR processes from hiring to payroll in one system,automate HR workflows and employee self-service requests,Slack,Datev,HR Director or People Ops Lead at a European SME,Personio HR
Leapsome,leapsome.com,HR,performance and engagement platform for continuous people development,fast-growing companies with performance-driven cultures,Lattice,15Five,run quarterly performance cycles and 360-degree feedback reviews,track employee engagement with pulse surveys and act on insights,Slack,BambooHR,People Ops Lead or Head of HR at a fast-growing startup,Leapsome Platform
Ashby,ashby.com,ATS,all-in-one recruiting platform for high-growth companies,talent teams at high-growth startups and scaleups,Lever,Greenhouse,manage the full recruiting funnel from sourcing to offer letter,build structured hiring workflows and automate interview scheduling,Slack,LinkedIn,Head of Talent or Recruiting Manager at a Series B+ company,Ashby ATS
Teamtailor,teamtailor.com,ATS,employer branding and ATS platform for modern talent teams,mid-market companies with active employer branding programs,Lever,Workable,build a beautiful careers site and track all applicants in one place,automate candidate communication throughout the entire hiring process,LinkedIn,Slack,Talent Manager or Head of HR at a mid-market company,Teamtailor ATS
Charlie HR,charliehr.com,HR,simple HR software built for small UK companies,small UK-based companies with 10 to 100 employees,BambooHR,Breathe,manage employee leave documents and HR admin in one place,onboard new hires with automated checklists and welcome flows,Slack,Google Workspace,HR Manager or SMB Founder in the UK,Charlie HR Software
Workable,workable.com,ATS,applicant tracking system for growing companies,HR teams at SMB and mid-market companies hiring at scale,Lever,Greenhouse,post jobs to 200 plus job boards with a single click,screen and evaluate candidates with AI-powered scoring tools,LinkedIn,Slack,Recruiting Lead or HR Manager at a growing company,Workable ATS
Humaans,humaans.io,HR,modern HRIS for fast-moving startups and scaleups,HR teams at startups and scaleups scaling their people ops,BambooHR,HiBob,manage employee data and run payroll through deep integrations,automate onboarding and offboarding workflows with zero manual effort,Slack,Google Workspace,People Ops Lead or HR Manager at a startup,Humaans HRIS
Chargebee,chargebee.com,billing,subscription management and revenue billing platform for SaaS,finance and revenue operations teams at SaaS companies,Stripe Billing,Recurly,manage the entire subscription lifecycle and automate billing workflows,handle complex pricing models and SaaS revenue recognition rules,Salesforce,Stripe,Finance Lead or RevOps Manager at a SaaS company,Chargebee Billing
Maxio,maxio.com,billing,SaaS financial operations and subscription billing platform,finance teams at B2B SaaS companies with complex pricing,Chargebee,Recurly,automate subscription billing and track SaaS metrics in a single platform,manage complex multi-element arrangements and revenue recognition compliance,Salesforce,QuickBooks,SaaS Finance Lead or CFO at a B2B SaaS company,Maxio SaaS Finance
ChartMogul,chartmogul.com,SaaS analytics,subscription analytics and revenue intelligence for SaaS companies,founders and finance teams at subscription SaaS businesses,Baremetrics,ProfitWell,track MRR ARR churn and all subscription metrics in one dashboard,analyze cohort retention and forecast subscription revenue growth,Stripe,Chargebee,SaaS Founder or Finance Manager at a subscription business,ChartMogul Analytics
Baremetrics,baremetrics.com,SaaS analytics,SaaS metrics and subscription analytics for bootstrap and funded founders,early-stage SaaS founders and indie developers on Stripe,ChartMogul,ProfitWell,track subscription metrics and MRR from Stripe in real time,forecast revenue and identify at-risk customers before they churn,Stripe,PayPal,Early-stage SaaS Founder or solo developer,Baremetrics Dashboard
Paddle,paddle.com,billing,complete payments and billing infrastructure for software companies,SaaS companies selling software globally across multiple geographies,Stripe,FastSpring,sell software globally with built-in tax compliance and payments handling,manage subscriptions and checkout without international compliance headaches,Stripe,PayPal,SaaS Founder or Head of Finance at a global software company,Paddle Billing
Pilot,pilot.com,finance,bookkeeping and financial operations platform for startups,venture-backed and bootstrapped startups needing clean financials,Bench,QuickBooks,get accurate books and financial statements managed by real accountants,automate bookkeeping and catch financial errors before they cause problems,Stripe,Gusto,Founder/CEO or CFO at a venture-backed startup,Pilot Bookkeeping
Numeric,numeric.io,finance,close management and financial reporting platform for finance teams,finance teams at mid-market companies running month-end close,FloQast,BlackLine,streamline month-end close with automated checklists and reconciliations,improve financial reporting accuracy and reduce close cycle time,NetSuite,QuickBooks,Finance Manager or Controller at a mid-market company,Numeric Finance
Finaloop,finaloop.com,finance,real-time accounting platform built for e-commerce businesses,e-commerce founders and finance teams on Shopify and Amazon,Bench,QuickBooks,automate e-commerce bookkeeping with real-time P&L and inventory COGS,sync multi-channel revenue and returns automatically without manual entry,Shopify,Amazon,Founder/CEO or Finance Manager at an e-commerce business,Finaloop Accounting
Mosaic,mosaic.tech,FP&A,strategic finance platform for modern FP&A teams,CFOs and FP&A leads at growth-stage venture-backed companies,Planful,Anaplan,build real-time financial models connected to live business data sources,run scenario analysis and board reporting without relying on spreadsheets,NetSuite,Salesforce,CFO or FP&A Lead at a Series B+ company,Mosaic Finance
Rho,rho.co,finance,all-in-one finance platform for scaling startups and scaleups,finance teams at venture-backed startups managing spend and AP,Brex,Mercury,manage company spending with smart corporate cards and bill pay automation,gain real-time visibility into budget versus actuals across the entire company,NetSuite,Stripe,CFO or Finance Lead at a venture-backed startup,Rho Finance
Customer.io,customer.io,marketing automation,customer messaging and lifecycle automation platform for SaaS,product-led growth and lifecycle marketing teams at SaaS companies,Braze,Klaviyo,send behavior-triggered emails and push notifications at scale,build complex automation workflows based on real product usage events,Segment,Stripe,VP Marketing or Head of Lifecycle Marketing at a SaaS company,Customer.io CX
Lemlist,lemlist.com,sales engagement,AI-powered cold email and multi-channel sales engagement platform,sales teams and growth marketers at B2B companies doing outbound,Reply.io,Instantly,send personalized cold email campaigns at scale with AI-powered personalization,automate multi-channel outreach sequences across LinkedIn and email,HubSpot,Salesforce,Head of Sales or Growth Lead at a B2B company,Lemlist Email
Instantly,instantly.ai,sales engagement,cold email automation platform built for high-volume outbound,SDR teams and growth hackers running high-volume cold email campaigns,Lemlist,Mailshake,send thousands of cold emails per day without getting flagged as spam,warm up email accounts and manage deliverability automatically at scale,HubSpot,Clay,SDR Manager or Growth Marketer doing outbound,Instantly AI
Reply.io,reply.io,sales engagement,AI sales engagement platform for automated multi-channel outreach,sales teams at B2B SaaS companies running outbound sequences,Lemlist,Outreach,automate email LinkedIn and call sequences for outbound sales workflows,use AI to personalize messages and continuously find new qualified prospects,Salesforce,HubSpot,Head of Sales or SDR Manager at a B2B company,Reply.io Sales
ActiveCampaign,activecampaign.com,marketing automation,customer experience automation for SMB and mid-market businesses,SMB and mid-market marketing teams running email and CRM programs,Klaviyo,HubSpot,build automated email marketing and CRM workflows without a developer,segment contacts and send personalized campaigns based on behavioral data,Shopify,WordPress,VP Marketing or Marketing Manager at a small to mid-market business,ActiveCampaign Email
Brevo,brevo.com,marketing automation,all-in-one marketing platform for email SMS and CRM campaigns,SMB and mid-market marketing teams needing affordable multi-channel tools,Mailchimp,ActiveCampaign,send email and SMS campaigns to millions of contacts at affordable pricing,manage contacts and automate marketing workflows from a single platform,WordPress,WooCommerce,Marketing Manager or CMO at a small or mid-market business,Brevo Email
Encharge,encharge.io,marketing automation,behavior-based email automation platform for SaaS companies,SaaS marketing leads and growth engineers building lifecycle flows,Customer.io,Intercom,trigger emails based on specific user actions in your SaaS product,build complex automation flows with a visual drag-and-drop editor,Stripe,Segment,SaaS Marketing Lead or Founder building lifecycle marketing,Encharge Automation
Userlist,userlist.com,marketing automation,email automation platform for SaaS onboarding and user lifecycle,indie SaaS developers and small SaaS teams building user journeys,Encharge,Customer.io,onboard new users with targeted email sequences based on product behavior,send feature announcements and lifecycle emails to keep users engaged,Stripe,Segment,SaaS Lifecycle Marketer or indie SaaS Founder,Userlist Email
Drip,drip.com,marketing automation,ecommerce CRM and email marketing platform for DTC brands,e-commerce brands and direct-to-consumer marketers,Klaviyo,Mailchimp,automate personalized e-commerce email flows based on purchase behavior,build revenue-generating workflows for cart abandonment and win-back campaigns,Shopify,WooCommerce,E-commerce Marketing Lead or Head of CRM at a DTC brand,Drip Email
Mailmodo,mailmodo.com,marketing automation,interactive email marketing platform for SaaS growth and engagement,SaaS growth marketers and email marketing leads wanting higher engagement,Customer.io,Mailchimp,send interactive AMP emails with embedded forms and survey widgets,improve email engagement with interactive elements that convert inside the inbox,Zapier,HubSpot,Email Marketer or Head of Growth at a SaaS company,Mailmodo Interactive Email
Weights & Biases,wandb.ai,MLOps,experiment tracking and ML model management platform for AI teams,ML engineering teams at AI research companies and AI-first startups,MLflow,Comet,track ML experiments and compare model performance across training runs,manage datasets artifacts and model versions in a central model registry,PyTorch,TensorFlow,ML Engineer or Head of AI/ML at a research-driven company,Weights and Biases
LangChain,langchain.com,AI tooling,framework for building production LLM-powered applications,AI engineers at startups and enterprises building LLM applications,LlamaIndex,Haystack,build production-ready LLM apps with retrieval augmented generation pipelines,chain together LLM calls tool use and memory for complex AI agent workflows,OpenAI,Anthropic,AI or ML Engineer building production LLM applications,LangChain Framework
LlamaIndex,llamaindex.ai,AI tooling,data framework for LLM applications and RAG pipelines,AI engineers building knowledge-intensive LLM and RAG applications,LangChain,Haystack,build production RAG pipelines over custom private data sources,connect LLMs to enterprise knowledge bases with advanced indexing techniques,OpenAI,Anthropic,AI Engineer or ML Lead building RAG applications,LlamaIndex RAG
Vellum,vellum.ai,AI tooling,LLM product development and prompt management platform,AI product teams building and iterating on LLM-powered product features,LangSmith,Braintrust,test and compare prompts systematically across multiple LLM providers,manage and version prompts for production LLM-powered product features,OpenAI,Anthropic,AI Product Lead or Head of AI at a product company,Vellum AI
Braintrust,braintrust.dev,AI tooling,AI evaluation and model testing platform for engineering teams,AI engineering teams building and deploying LLM-powered products,Vellum,PromptFoo,evaluate and score LLM outputs with automated test suites and benchmarks,run A/B tests across different models and prompt versions to find optimal configurations,OpenAI,Anthropic,AI Engineer or ML Ops Lead at a product company,Braintrust Eval
Helicone,helicone.ai,AI tooling,LLM observability and cost monitoring platform for developers,developers and startups building and scaling LLM-powered applications,LangSmith,Portkey,monitor LLM requests costs and latency in real time across all providers,debug and replay failed LLM calls with full request logging and history,OpenAI,Anthropic,AI Developer or LLM Ops Lead building production AI apps,Helicone Observability
Portkey,portkey.ai,AI tooling,AI gateway and LLM ops platform for production engineering teams,platform and AI engineering teams managing multi-LLM production deployments,Helicone,LiteLLM,route LLM requests across providers with automatic fallbacks and load balancing,monitor costs and set safety guardrails on all LLM usage in production,OpenAI,Anthropic,AI Engineer or Platform Lead managing production LLM infrastructure,Portkey AI Gateway
Comet ML,comet.com,MLOps,ML experiment tracking and model management for data science teams,data science and ML engineering teams at analytics-driven companies,Weights & Biases,MLflow,track machine learning experiments and compare model performance across teams,manage model versioning and track the full ML model development lifecycle,Python,Jupyter,ML Engineer or Data Scientist at a company with an ML team,CometML
Langfuse,langfuse.com,AI tooling,open-source LLM observability and evaluation platform,engineering teams building and debugging production LLM applications,LangSmith,Helicone,trace and debug complex LLM pipelines with full request-level observability,run automated evaluations on LLM outputs to measure and improve quality over time,LangChain,OpenAI,AI Engineer or LLM Observability Lead building production AI apps,Langfuse LLM Tracing
Apify,apify.com,automation,web scraping and browser automation platform for developers,data engineers and developers needing reliable structured web data,Scrapy,Playwright,extract data from any website with ready-made scrapers or custom code actors,run reliable web scraping workflows at scale on managed cloud infrastructure,Python,JavaScript,Data Engineer or Developer needing scalable web data extraction,Apify Platform
Intercom,intercom.com,customer support,customer messaging and AI-powered support platform for B2B SaaS,SaaS customer success and support teams managing high volumes of customer conversations,Zendesk,Drift,manage all customer conversations in one unified inbox across chat email and social,automate support workflows and deflect tickets with AI-powered chatbots,Salesforce,HubSpot,VP Customer Success or Head of Support at a B2B SaaS company,Intercom Messenger
Gainsight,gainsight.com,customer success,enterprise customer success and digital engagement platform,enterprise SaaS customer success teams managing large portfolios,ChurnZero,Totango,manage customer health scores and automate CSM playbooks at scale,track product adoption and identify at-risk accounts before they churn,Salesforce,Zendesk,VP Customer Success or CS Director at an enterprise SaaS company,Gainsight CS
ChurnZero,churnzero.com,customer success,real-time customer success software for subscription businesses,customer success teams at mid-market and enterprise SaaS companies,Gainsight,Vitally,reduce churn with real-time health scores and automated CS playbooks,give CSMs a unified view of every account's engagement risk and health,Salesforce,HubSpot,CS Manager or Head of Customer Success at a SaaS company,ChurnZero Platform
Vitally,vitally.io,customer success,customer success platform for B2B SaaS product and CS teams,customer success teams at mid-market B2B SaaS companies,ChurnZero,Gainsight,manage customer accounts with configurable health scores and automated workflows,scale CS operations without adding headcount by automating high-touch playbooks,Salesforce,HubSpot,CS Lead or Head of Customer Success at a B2B SaaS company,Vitally CS
Planhat,planhat.com,customer success,customer success and revenue platform for CS and RevOps teams,enterprise SaaS CS and RevOps teams managing complex customer portfolios,Gainsight,ChurnZero,centralize customer data and automate CS workflows across the entire customer lifecycle,align sales and success teams on revenue expansion and renewal opportunities,Salesforce,Stripe,CS Director or Account Manager Lead at an enterprise SaaS company,Planhat Platform
Totango,totango.com,customer success,composable customer success platform for enterprise SaaS companies,enterprise customer success and CX teams at large SaaS organizations,Gainsight,ChurnZero,build modular customer success programs using composable SuccessBLOC templates,scale CS operations across thousands of accounts with automated plays,Salesforce,Marketo,VP CS or Enterprise CS Lead at a large SaaS organization,Totango CS
Front,front.com,customer operations,collaborative customer communications platform for operations teams,customer ops support and account management teams at growing companies,Zendesk,Help Scout,manage customer emails as a shared team inbox without losing context or dropping threads,automate customer communication workflows with intelligent routing rules and macros,Salesforce,HubSpot,CS or Support Lead or Head of Ops at a mid-market company,Front Inbox
Help Scout,helpscout.com,customer support,simple email-based customer support platform for customer-centric teams,support and success teams at bootstrapped and growth-stage SaaS companies,Freshdesk,Zendesk,manage shared team email inboxes and live chat without a ticket-based system,build a self-service knowledge base that reduces inbound support volume,Slack,HubSpot,Support Manager or Customer Ops Lead at a customer-first company,Help Scout Support
Stonly,stonly.com,knowledge management,interactive knowledge base and guided support platform for CS teams,CS teams building self-service and guided onboarding experiences,Guru,Confluence,create interactive step-by-step guides that walk users through complex workflows,reduce support tickets with contextual in-app help widgets and self-service portals,Intercom,Zendesk,CS Lead or Knowledge Base Manager at a SaaS company,Stonly Guides
UserVoice,uservoice.com,product feedback,product feedback and roadmap management platform for product teams,product teams capturing and prioritizing customer feature requests,Productboard,Aha!,collect and prioritize customer feedback to inform product roadmap decisions,close the feedback loop with customers when their requested features ship,Salesforce,Zendesk,Head of Product or CS Manager at a SaaS company,UserVoice Feedback
Vanta,vanta.com,compliance,automated security compliance platform for SOC 2 ISO 27001 and more,engineering and security teams at startups pursuing compliance certifications,Drata,Sprinto,automate SOC 2 and ISO 27001 compliance with continuous security monitoring,collect audit evidence and manage vendor risk from a single compliance dashboard,GitHub,AWS,CISO or Engineering Lead at a startup seeking compliance certification,Vanta Compliance
Drata,drata.com,compliance,continuous security and compliance automation platform for tech companies,security and compliance teams at high-growth technology companies,Vanta,Sprinto,automate compliance monitoring and evidence collection for SOC 2 and ISO 27001,reduce audit preparation time with continuously automated controls testing,GitHub,Okta,Security Lead or Compliance Manager at a high-growth tech company,Drata Compliance
Sprinto,sprinto.com,compliance,fast-track compliance automation platform for SaaS startups,engineering and compliance teams at growth-stage SaaS startups,Vanta,Drata,fast-track SOC 2 certification without slowing down the engineering team,automate compliance checks and manage risk registries in a single platform,GitHub,Slack,Compliance Lead or CTO at a growth-stage startup,Sprinto Compliance
Secureframe,secureframe.com,compliance,security and compliance automation for mid-market SaaS companies,security teams at mid-market SaaS companies pursuing multiple frameworks,Vanta,Drata,automate SOC 2 HIPAA and ISO 27001 compliance from the very first day,continuously monitor your tech stack for security control failures and violations,GitHub,AWS,Security Lead or CISO at a mid-market SaaS company,Secureframe Compliance
Anecdotes,anecdotes.ai,compliance,compliance operations platform for enterprise security and GRC teams,enterprise GRC and compliance teams at regulated technology companies,Vanta,ServiceNow GRC,collect and manage compliance evidence across your entire technology stack,build a unified compliance program that spans multiple regulatory frameworks simultaneously,GitHub,Okta,GRC Lead or Compliance Manager at an enterprise tech company,Anecdotes GRC
Nudge Security,nudgesecurity.com,security,SaaS security and shadow IT discovery platform for IT teams,IT and security teams at mid-market companies managing SaaS sprawl,Zluri,BetterCloud,discover all SaaS apps used across your company without deploying agents,manage SaaS sprawl and enforce security policies without blocking employee productivity,Okta,Google Workspace,Security Manager or IT Lead at a mid-market company,Nudge Security Platform
Grip Security,grip.security,security,SaaS security posture management platform for enterprise teams,security teams at enterprise companies managing SaaS risk and exposure,Nudge Security,Obsidian,identify risky and unmanaged SaaS app usage across your entire organization,prevent data exfiltration through unsanctioned SaaS applications with no agents required,Okta,Microsoft Azure AD,Security Lead or IT Manager at an enterprise company,Grip SSPM
SafeBase,safebase.io,security,trust and security center platform for B2B SaaS vendor reviews,sales engineering and security teams at B2B SaaS companies,OneTrust,Whistic,automate security questionnaire responses to unblock enterprise sales deals,build a public trust center that proactively answers security questions for prospects,Salesforce,HubSpot,Sales Ops Lead or Security Manager at a B2B SaaS company,SafeBase Trust
Conveyor,conveyor.com,security,security review automation platform for SaaS sales and compliance,sales and security teams at B2B SaaS companies dealing with security reviews,SafeBase,Drata,automate security questionnaire responses so sales deals do not get stuck in security review,build a security profile that accelerates enterprise procurement and security diligence,Salesforce,HubSpot,Security Lead or RevOps Manager at a B2B SaaS company,Conveyor Security
Semgrep,semgrep.com,security,static analysis and application security testing tool for developers,application security and DevSecOps teams at technology companies,Snyk,SonarQube,find and fix security vulnerabilities in code automatically before they reach production,enforce security coding policies in CI/CD pipelines without slowing down developers,GitHub,GitLab,AppSec Lead or Developer at a security-conscious technology company,Semgrep SAST
Zapier,zapier.com,automation,no-code workflow automation platform connecting 6000 plus apps,operations teams and business users at SMBs and mid-market companies,Make,n8n,connect apps and automate repetitive workflows without writing any code,build multi-step automations that run on triggers from any app in your stack,Google Sheets,Slack,Ops Manager or No-Code Lead at a small to mid-market company,Zapier Automation
Make,make.com,automation,visual no-code automation platform for building complex workflows,operations teams and automation specialists building advanced integrations,Zapier,n8n,build complex multi-step automations with a visual drag-and-drop workflow builder,design advanced logic and data transformations for enterprise-grade automated workflows,Google Sheets,HubSpot,Ops Lead or Automation Manager at a growing company,Make Automation
n8n,n8n.io,automation,open-source workflow automation for technical operations teams,developers and technical ops teams who need self-hosted workflow automation,Zapier,Make,self-host workflow automation with full data control and no per-task pricing limits,build complex LLM-powered automations with code nodes and custom business logic,GitHub,Postgres,Technical Ops Lead or Developer wanting self-hosted automation,n8n Workflows
Fivetran,fivetran.com,data integration,automated data movement and transformation platform for modern data stacks,data engineering teams at mid-to-large analytics-driven companies,Stitch,Airbyte,replicate data from 400 plus sources to your data warehouse automatically,transform and model raw data with dbt in a unified managed data pipeline,Snowflake,BigQuery,Data Engineer or Head of Data at a data-driven company,Fivetran Data
Matillion,matillion.com,data integration,cloud-native data integration and transformation platform for enterprises,enterprise data engineering teams migrating from legacy ETL tools,Fivetran,Informatica,build and run scalable data pipelines in the cloud without managing infrastructure,transform raw data into analytics-ready models using a visual low-code ETL designer,Snowflake,Redshift,Data Engineer or ETL Lead at a data-heavy enterprise,Matillion ETL
Airbyte,airbyte.com,data integration,open-source ELT data integration platform for modern data teams,data engineers at startups and mid-market companies building data pipelines,Fivetran,Stitch,move data from 300 plus sources to your data warehouse with open-source connectors,build custom connectors with a no-code connector builder when pre-built ones are missing,Postgres,Snowflake,Data Engineer or Analytics Lead building ELT pipelines,Airbyte ELT
Hightouch,hightouch.com,reverse ETL,data activation and reverse ETL platform for RevOps and data teams,RevOps and data teams activating warehouse data in operational tools,Census,Omnata,sync customer data from your data warehouse to CRM and marketing tools automatically,activate product analytics and behavioral data without waiting for engineering sprints,Salesforce,HubSpot,RevOps Lead or Data Engineer activating warehouse data,Hightouch Reverse ETL
