brand,url,category,category_long,segment,competitor_1,competitor_2,use_case_1,use_case_2,integration_1,integration_2,role,aliases
Amplitude,amplitude.com,product analytics,digital analytics platform for enterprise and mid-market teams,mid-market to enterprise product teams,Mixpanel,Pendo,analyze product usage and user behavior,optimize onboarding and conversion funnels,Segment,Salesforce,VP Product or Chief Product Officer,Amplitude Analytics
PostHog,posthog.com,product analytics,open-source product analytics platform for developer teams,developer-led product teams,Mixpanel,Amplitude,self-host product analytics without third-party services,track feature flags and run A/B experiments,GitHub,Slack,engineering lead or head of product,PostHog Analytics
Pendo,pendo.io,product analytics,product experience and analytics platform for enterprise SaaS,enterprise SaaS product teams,Amplitude,Mixpanel,guide users through in-app onboarding tours,track feature adoption and measure NPS,Salesforce,Zendesk,VP Product or Product Ops Manager,Pendo.io
June.so,june.so,product analytics,B2B product analytics built on Segment for early-stage teams,early-stage B2B SaaS teams,Mixpanel,PostHog,track user activation and product-qualified leads,identify accounts likely to churn early,Segment,HubSpot,founder or head of product at a B2B SaaS startup,June
Metabase,metabase.com,business intelligence,open-source BI and data visualization tool,data and operations teams at startups and SMBs,Tableau,Looker,build dashboards and reports without writing SQL,share data insights with non-technical stakeholders,PostgreSQL,MySQL,data analyst or head of data,Metabase BI
Plausible,plausible.io,web analytics,privacy-first web analytics for SaaS founders,privacy-conscious SaaS founders and developers,Google Analytics,Mixpanel,track website traffic without cookies or consent banners,monitor conversion funnels without compromising user privacy,WordPress,Gatsby,SaaS founder or marketing manager,Plausible Analytics
Klipfolio,klipfolio.com,business intelligence,cloud dashboard and KPI tracking tool for SMBs,marketing and operations teams at SMBs,Google Data Studio,Tableau,build KPI dashboards connected to multiple data sources,create automated executive reports without manual data entry,Google Analytics,HubSpot,marketing ops lead or COO,Klipfolio Dashboard
Supermetrics,supermetrics.com,marketing analytics,marketing data pipeline tool for agencies and in-house teams,digital marketing agencies and in-house marketing teams,Funnel.io,Fivetran,pull marketing data from all ad platforms into spreadsheets,automate marketing reporting across all channels,Google Analytics,Facebook Ads,marketing analyst or head of marketing,Supermetrics for Google Sheets
FullStory,fullstory.com,product analytics,digital experience analytics with session replay,product and UX teams at mid-market SaaS companies,Hotjar,Mouseflow,replay user sessions to understand UX friction points,identify rage clicks and broken flows in the product,Segment,Amplitude,VP Product or head of UX research,"Full Story,FullStory DX"
Retool,retool.com,internal tooling,low-code platform for building internal tools and dashboards,engineering and operations teams at mid-market companies,AppSmith,Budibase,build internal dashboards and admin panels quickly,create CRUD apps without full-stack engineering effort,PostgreSQL,Stripe,VP Engineering or CTO at a growing startup,Retool App
Linear,linear.app,project management,issue tracking and project management for software teams,software development teams at fast-growing companies,Jira,Asana,track engineering tasks and sprints efficiently,manage product roadmaps and coordinate releases,GitHub,Slack,engineering manager at a fast-growing startup,Linear App
Sentry,sentry.io,error monitoring,application performance monitoring and error tracking platform,engineering teams at SaaS companies,Datadog,Bugsnag,catch and fix production errors before users notice,monitor application performance and response latency,GitHub,Slack,engineering lead or DevOps manager,Sentry.io
Vercel,vercel.com,deployment,frontend cloud and deployment platform for modern web apps,frontend engineering teams at SaaS companies,Netlify,AWS Amplify,deploy and scale Next.js applications globally,manage preview deployments for every pull request,GitHub,Next.js,head of frontend engineering or CTO,Vercel Cloud
Render,render.com,cloud infrastructure,modern cloud hosting platform for web services and databases,startup and scale-up engineering teams,Heroku,Railway,deploy web services and databases without DevOps complexity,run background workers and cron jobs reliably in production,GitHub,PostgreSQL,DevOps lead or backend engineer at a startup,Render Cloud
